Id,ProjectId,TimeStamp,PowerGenerated,PowerConsumed,CreatedAt,PowerGeneratedRaw,PowerConsumedRaw,PowerGeneratedRaw/4,PowerConsumedRaw/4
286315,2,2018-01-01 12:15:00,4912,10490.49,2018-01-01 12:30:09,4912,10490.49,1228,2622.6225
286334,2,2018-01-01 12:30:00,4078.33,8864.63,2018-01-01 12:45:09,4078.33,8864.63,1019.5825,2216.1575
286353,2,2018-01-01 12:45:00,5100.66,10180.97,2018-01-01 13:00:08,5100.66,10180.97,1275.165,2545.2425
286372,2,2018-01-01 13:00:00,4943,10273.98,2018-01-01 13:15:09,4943,10273.98,1235.75,2568.495
286391,2,2018-01-01 13:15:00,4637,9830.42,2018-01-01 13:30:09,4637,9830.42,1159.25,2457.605
286410,2,2018-01-01 13:30:00,4435.33,9167.12,2018-01-01 13:45:09,4435.33,9167.12,1108.8325,2291.78
286429,2,2018-01-01 13:45:00,4323.33,12193.3,2018-01-01 14:00:10,4323.33,12193.3,1080.8325,3048.325
286449,2,2018-01-01 14:00:00,4139.66,9813.34,2018-01-01 14:15:11,4139.66,9813.34,1034.915,2453.335
286468,2,2018-01-01 14:15:00,3951,9806.9,2018-01-01 14:30:09,3951,9806.9,987.75,2451.725
286485,2,2018-01-01 14:30:00,3696,9524.49,2018-01-01 14:45:08,3696,9524.49,924,2381.1225
286506,2,2018-01-01 14:45:00,3369,10636.05,2018-01-01 15:00:11,3369,10636.05,842.25,2659.0125
286524,2,2018-01-01 15:00:00,3049.33,9602.8,2018-01-01 15:15:09,3049.33,9602.8,762.3325,2400.7
286543,2,2018-01-01 15:15:00,2717.33,8962.41,2018-01-01 15:30:08,2717.33,8962.41,679.3325,2240.6025
286561,2,2018-01-01 15:30:00,2504.66,9839.37,2018-01-01 15:45:09,2504.66,9839.37,626.165,2459.8425
286579,2,2018-01-01 15:45:00,2139,8817.87,2018-01-01 16:00:10,2139,8817.87,534.75,2204.4675
286599,2,2018-01-01 16:00:00,1741.33,7971.17,2018-01-01 16:15:08,1741.33,7971.17,435.3325,1992.7925
286618,2,2018-01-01 16:15:00,1290.33,7014.09,2018-01-01 16:30:09,1290.33,7014.09,322.5825,1753.5225
286638,2,2018-01-01 16:30:00,788,6756.63,2018-01-01 16:45:12,788,6756.63,197,1689.1575
286656,2,2018-01-01 16:45:00,290.66,6338.21,2018-01-01 17:00:09,290.66,6338.21,72.665,1584.5525
286675,2,2018-01-01 17:00:00,205,6074.95,2018-01-01 17:15:09,205,6074.95,51.25,1518.7375
286693,2,2018-01-01 17:15:00,49.33,6700.23,2018-01-01 17:30:08,49.33,6700.23,12.3325,1675.0575
286711,2,2018-01-01 17:30:00,0,5063.02,2018-01-01 17:45:09,0,5063.02,0,1265.755
286786,2,2018-01-01 18:30:00,0,7263.94,2018-01-01 18:45:09,0,7263.94,0,1815.985
286804,2,2018-01-01 18:45:00,0,7654.44,2018-01-01 19:00:09,0,7654.44,0,1913.61
286823,2,2018-01-01 19:00:00,0,6932.87,2018-01-01 19:15:09,0,6932.87,0,1733.2175
286842,2,2018-01-01 19:15:00,0,7090.89,2018-01-01 19:30:09,0,7090.89,0,1772.7225
286861,2,2018-01-01 19:30:00,0,9099.35,2018-01-01 19:45:09,0,9099.35,0,2274.8375
286881,2,2018-01-01 19:45:00,0,8098.88,2018-01-01 20:00:11,0,8098.88,0,2024.72
286899,2,2018-01-01 20:00:00,0,0,2018-01-01 20:15:09,0,0,0,0
